Loading weights:   0%|          | 0/292 [00:00<?, ?it/s]Loading weights: 100%|██████████| 292/292 [00:00<00:00, 12956.34it/s]
[  6h13m +242.51s]   prompt 87/100  seq_len=128 n_valid=111  242s  max||J||/sqrt(d)=1.259  max_d_mean=1.23e-02
[  6h17m +238.99s]   prompt 88/100  seq_len=128 n_valid=111  239s  max||J||/sqrt(d)=1.970  max_d_mean=3.56e-02
[  6h21m +238.08s]   prompt 89/100  seq_len=128 n_valid=111  238s  max||J||/sqrt(d)=1.267  max_d_mean=1.02e-02
[  6h25m +239.75s]   prompt 90/100  seq_len=128 n_valid=111  240s  max||J||/sqrt(d)=1.215  max_d_mean=1.03e-02
[  6h29m +245.78s]   prompt 91/100  seq_len=128 n_valid=111  246s  max||J||/sqrt(d)=1.281  max_d_mean=1.25e-02
[  6h33m +254.52s]   prompt 92/100  seq_len=128 n_valid=111  254s  max||J||/sqrt(d)=1.264  max_d_mean=1.02e-02
[  6h38m +256.44s]   prompt 93/100  seq_len=128 n_valid=111  256s  max||J||/sqrt(d)=1.302  max_d_mean=1.09e-02
[  6h42m +246.52s]   prompt 94/100  seq_len=128 n_valid=111  246s  max||J||/sqrt(d)=1.393  max_d_mean=1.83e-02
[  6h46m +238.47s]   prompt 95/100  seq_len=128 n_valid=111  238s  max||J||/sqrt(d)=1.289  max_d_mean=1.05e-02
[  6h50m +238.47s]   prompt 96/100  seq_len=128 n_valid=111  238s  max||J||/sqrt(d)=1.343  max_d_mean=1.12e-02
[  6h54m +237.80s]   prompt 97/100  seq_len=128 n_valid=111  238s  max||J||/sqrt(d)=1.367  max_d_mean=1.44e-02
[  6h58m +235.76s]   prompt 98/100  seq_len=128 n_valid=111  236s  max||J||/sqrt(d)=1.334  max_d_mean=1.10e-02
[  7h02m +235.55s]   prompt 99/100  seq_len=128 n_valid=111  235s  max||J||/sqrt(d)=1.290  max_d_mean=1.24e-02
[  7h06m +238.09s]   prompt 100/100  seq_len=128 n_valid=111  238s  max||J||/sqrt(d)=1.292  max_d_mean=9.15e-03
[  7h06m +  0.41s] fit: done, 100 prompts
DONE n=100 dim_batch=8 wall=25456s -> /home/user/ATR_research/_STAGE2_JSPACE/artifacts/jlens_gpt2_medium_100.pt
JacobianLens(d_model=1024, n_prompts=100, source_layers=[0..22] (23 layers))
