arm,family,layer,n,median_share,q25,q75,mean_share,median_n_atoms
control_rotation_pooled,directions,4,6,0.014592,0.012051,0.025091,nan,nan
control_rotation_pooled,directions,5,6,0.015244,0.011138,0.020958,nan,nan
control_rotation_pooled,directions,6,6,0.012129,0.009435,0.016054,nan,nan
control_rotation_pooled,directions,7,6,0.011164,0.009767,0.016921,nan,nan
control_rotation_pooled,directions,8,6,0.011370,0.009717,0.015946,nan,nan
control_rotation_pooled,directions,9,6,0.010923,0.008624,0.013198,nan,nan
control_rotation_pooled,directions,10,6,0.012585,0.009183,0.017111,nan,nan
control_rotation_pooled,directions,11,6,0.045298,0.036231,0.057938,nan,nan
control_rotation_pooled,lang,0,375,0.014526,0.011693,0.019209,nan,nan
control_rotation_pooled,lang,1,375,0.018350,0.011715,0.021836,nan,nan
control_rotation_pooled,lang,2,375,0.020825,0.010368,0.023813,nan,nan
control_rotation_pooled,lang,3,375,0.016364,0.012723,0.025573,nan,nan
control_rotation_pooled,lang,4,375,0.011828,0.010155,0.024115,nan,nan
control_rotation_pooled,lang,5,375,0.013472,0.010050,0.020089,nan,nan
control_rotation_pooled,lang,6,375,0.013533,0.009415,0.018650,nan,nan
control_rotation_pooled,lang,7,375,0.013931,0.012079,0.017429,nan,nan
control_rotation_pooled,lang,8,375,0.013640,0.012028,0.015982,nan,nan
control_rotation_pooled,lang,9,375,0.013187,0.012321,0.014572,nan,nan
control_rotation_pooled,lang,10,375,0.014914,0.012406,0.018719,nan,nan
control_rotation_pooled,lang,11,375,0.048157,0.045743,0.060861,nan,nan
control_rotation_pooled,named,0,30,0.017371,0.013078,0.023994,nan,nan
control_rotation_pooled,named,1,30,0.020208,0.013547,0.028111,nan,nan
control_rotation_pooled,named,2,30,0.021312,0.015221,0.026332,nan,nan
control_rotation_pooled,named,3,30,0.020440,0.014922,0.025682,nan,nan
control_rotation_pooled,named,4,30,0.015958,0.012323,0.021763,nan,nan
control_rotation_pooled,named,5,30,0.016592,0.013284,0.019681,nan,nan
control_rotation_pooled,named,6,30,0.011307,0.010225,0.017340,nan,nan
control_rotation_pooled,named,7,30,0.013976,0.010693,0.016277,nan,nan
